0x00 0x1800 0xf87b => 0x1800 0x5a55
0x00 0x3000 0xb4ab => 0x3000 0x576c
0x07 0x4000 0xddb3 => 0x7452 0x756d
0x00 0x2900 0xb6ff => 0x2900 0x5354
0x00 0x2400 0xcd53 => 0x2400 0x56c1
0x00 0x1000 0xdb07 => 0x1000 0x4d30
0x00 0x2000 0x9a61 => 0x2000 0x4514
0x00 0x0 0x9453 => 0x0 0x2d2f
0x00 0x0 0xb4bf => 0x0 0x375a
0x00 0x0 0xdd6b => 0x0 0x442a
0x5f(_) 0x0 0x8855 => 0x513c 0x52ce
0x5f(_) 0x1e00 0xe77f => 0x95c9 0x9891
0x74(t) 0x3920 0x923f => 0x7384 0x73b7
0x65(e) 0x1000 0xdfff => 0x90ce 0x9147
0x78(x) 0x4e00 0xc7ff => 0x9f3d 0x9fcb
0x74(t) 0x3d00 0xcbff => 0x9a5f 0x9b06
0x00 0x2f80 0x837f => 0x2f80 0x4922
0x00 0x3e00 0xa48b => 0x3e00 0x5d75
0x00 0x7800 0xf5d7 => 0x7800 0x9ece
0x00 0x6000 0xfb3b => 0x6000 0x901c
0x00 0x0 0xc073 => 0x0 0x3bf2
0x00 0x0 0xefcb => 0x0 0x4b11
0x00 0x0 0x9623 => 0x0 0x2f3b
0x00 0x0 0xbcef => 0x0 0x3bba
0x00 0x0 0xeeeb => 0x0 0x4be5
0x00 0x0 0x97cb => 0x0 0x3072
0x5f(_) 0x0 0xc1cb => 0x73ac 0x76b0
0x5f(_) 0x7580 0xd61f => 0xaf0b 0xb0c2
0x54(T) 0x580 0xe17f => 0x80ea 0x825f
0x45(E) 0x3a80 0x97ff => 0x6a13 0x6ae6
0x58(X) 0x1300 0xe6ff => 0x8d25 0x8e13
0x54(T) 0x1280 0x89ff => 0x555b 0x5667
0x00 0x2d80 0xb3ff => 0x2d80 0x5810
0x00 0x3600 0xe043 => 0x3600 0x6c23
0x00 0x6c00 0xd847 => 0x6c00 0x8e96
0x00 0x3000 0xba5b => 0x3000 0x5c67
0x00 0x4000 0xf19f => 0x4000 0x7944
0x00 0x0 0xe513 => 0x0 0x4a32
0x00 0x0 0x9465 => 0x0 0x3048
0x00 0x0 0xc123 => 0x0 0x3f1f
0x00 0x0 0xfc7f => 0x0 0x52e3
0x00 0x0 0xa5c7 => 0x0 0x36a9
0x20 0x0 0xdaa7 => 0x5d93 0x5efb
0x0e 0x4980 0xfdff => 0x8e72 0x8ed4
0x00 0x7200 0xd4ff => 0x7200 0x92a4
0x00 0x4800 0xca93 => 0x4800 0x733e
0x01 0x2000 0xccfb => 0x5989 0x5b02
0x00 0x6240 0xc0bf => 0x6240 0x819c
0x00 0x900 0x8673 => 0x900 0x32d0
0x00 0x2400 0xcb43 => 0x2400 0x5bfc
0x04 0x1000 0xeff3 => 0x6004 0x607c
0x0f 0x800 0xf9ff => 0x6778 0x67fa
0x00 0x7800 0xfaff => 0x7800 0xa3d8
0x00 0x7000 0xc7b1 => 0x7000 0x8d79
0x00 0x0 0xebcf => 0x0 0x4f96
0x00 0x0 0x9f2d => 0x0 0x35f1
0x00 0x0 0xd7c7 => 0x0 0x496c
0x00 0x0 0x92d9 => 0x0 0x322b
0x20 0x0 0xc8af => 0x5949 0x5af3
0x0e 0x2480 0xf9ff => 0x791a 0x79fc
0x00 0x1a00 0xfcff => 0x1a00 0x678a
0x00 0x3400 0xcf15 => 0x3400 0x692f
0x04 0x6800 0xd25f => 0x8ed2 0x8f41
0x00 0x5200 0xc1ff => 0x5200 0x787b
0x00 0x4800 0xe1ef => 0x4800 0x7d19
0x00 0x2000 0xf467 => 0x2000 0x698e
0x00 0x4000 0xd31d => 0x4000 0x7324
0x00 0x0 0xcc93 => 0x0 0x4763
0x00 0x0 0x8ec7 => 0x0 0x3203
0x00 0x0 0xc80f => 0x0 0x4657
0x00 0x0 0x8caf => 0x0 0x31a6
0x00 0x0 0xc69b => 0x0 0x465a
0x00 0x0 0x8cb5 => 0x0 0x3206
0x00 0x0 0xc81b => 0x0 0x4767
0x00 0x0 0x8ecf => 0x0 0x3324
0x04 0x0 0xcc93 => 0x4da4 0x4ede
0x00 0x5200 0xef7f => 0x5200 0x8a7e
0x80 0x2400 0x94fd => 0x7608 0x76b4
0x00 0x800 0xb4ff => 0x800 0x4626
0x00 0x1000 0x8c4d => 0x1000 0x3cd0
0x00 0x4000 0xf343 => 0x4000 0x80dc
0x00 0x0 0x81b9 => 0x0 0x2f19
0x00 0x0 0xbc67 => 0x0 0x44a4
0x00 0x0 0x8949 => 0x0 0x3230
0x00 0x0 0xc8c3 => 0x0 0x49a6
0x00 0x0 0x934d => 0x0 0x3638
0x00 0x0 0xd8e3 => 0x0 0x501a
0x00 0x0 0xa035 => 0x0 0x3b5e
0x00 0x0 0xed7b => 0x0 0x584c
0x00 0x0 0xb099 => 0x0 0x41e0
0x5f(_) 0x0 0x83c1 => 0x547f 0x56ce
0x5f(_) 0x1fc0 0xb3bf => 0x7e7b 0x815b
0x73(s) 0x1ec0 0xd6ff => 0x9f8b 0x9fe6
0x74(t) 0x1600 0xcdff => 0x9715 0x9826
0x75(u) 0xa80 0x937f => 0x6b7c 0x6bbf
0x62(b) 0x7800 0xffff => 0xd1ca 0xd20c
0x73(s) 0x1400 0x99ff => 0x7134 0x71b7
0x00 0x3400 0xb7ff => 0x3400 0x64bc
0x00 0x6800 0xc979 => 0x6800 0x8c1a
0x00 0x2000 0xb06b => 0x2000 0x55ab
0x00 0x0 0xd6af => 0x0 0x500a
0x00 0x0 0xa015 => 0x0 0x3be0
0x00 0x0 0xef83 => 0x0 0x59df
0x00 0x0 0xb3bf => 0x0 0x43a8
0x00 0x0 0x8751 => 0x0 0x3318
0x00 0x0 0xcc63 => 0x0 0x4d6a
0x5f(_) 0x0 0x9ad5 => 0x62ee 0x6625
0x5f(_) 0x5dc0 0xc4bf => 0x9f6f 0xa1c3
0x54(T) 0x5bc0 0xf0ff => 0xb5b1 0xb718
0x45(E) 0x6c40 0xc63f => 0x9e53 0x9f2a
0x58(X) 0x2980 0x957f => 0x6c5d 0x6cf8
0x54(T) 0x5d00 0xf8ff => 0xbac6 0xbc86
0x00 0x3180 0xa1bf => 0x3180 0x5bab
0x00 0x4600 0xeeaf => 0x4600 0x8591
0x00 0xc00 0x8b23 => 0xc00 0x3c0e
0x00 0x3000 0xf03b => 0x3000 0x78e3
0x00 0x6000 0xf1c7 => 0x6000 0x9771
0x00 0x0 0xddc7 => 0x0 0x5499
0x00 0x0 0xa933 => 0x0 0x40bc
0x00 0x0 0x8179 => 0x0 0x31af
0x00 0x0 0xc6bf => 0x0 0x4c7e
0x00 0x0 0x98fd => 0x0 0x3b0e
0x24($) 0x0 0xec3b => 0x75e6 0x7654
0x1d 0x6600 0xd4ff => 0x9adb 0x9b0e
0x00 0x3600 0x9dff => 0x3600 0x5e1c
0x00 0x5800 0xf873 => 0x5800 0x9611
0x01 0x3000 0xac23 => 0x6029 0x614a
0x00 0x1480 0xa57f => 0x1480 0x4ca6
0x00 0x2900 0x994d => 0x2900 0x549d
0x00 0x2400 0xd277 => 0x2400 0x67f3
0x96 0x4800 0xcfe7 => 0xb461 0xb49f
0x00 0x400 0xffff => 0x400 0x663f
0x00 0x800 0xcc7f => 0x800 0x54d3
0x00 0x1000 0xa9a7 => 0x1000 0x4c3e
0x00 0x2000 0x987d => 0x2000 0x4f5e
0x00 0x0 0xbd7b => 0x0 0x4ab4
0x00 0x0 0x9569 => 0x0 0x3b11
0x00 0x0 0xec47 => 0x0 0x5daa
0x24($) 0x0 0xbb55 => 0x5f81 0x602b
0x1d 0x100 0xabff => 0x5410 0x54ab
0x00 0x1000 0xabff => 0x1000 0x4dc9
0x00 0x2000 0x9b93 => 0x2000 0x5113
0x01 0x0 0xc44f => 0x4e2d 0x5042
0x00 0xb40 0x90bf => 0xb40 0x4050
0x00 0x1680 0x80a1 => 0x1680 0x40cc
0x00 0x2d00 0x8199 => 0x2d00 0x4ece
0x00 0x3400 0xbb3b => 0x3400 0x6a2f
0x00 0x6800 0xd45f => 0x6800 0x9389
0x00 0x2000 0xce27 => 0x2000 0x6625
0x00 0x4000 0xcc4b => 0x4000 0x78a7
0x00 0x0 0xe29f => 0x0 0x5bc0
0x00 0x0 0xb781 => 0x0 0x4a7c
0x00 0x0 0x94f9 => 0x0 0x3c9f
0x00 0x0 0xf27f => 0x0 0x62ee
0x08 0x0 0xc5dd => 0x5929 0x597f
0x04 0x5200 0xffff => 0x9ca8 0x9ddb
0x00 0x5400 0xedff => 0x5400 0x92c4
0x80 0x2800 0xa589 => 0x8773 0x8850
0x00 0x3980 0xa87f => 0x3980 0x66c6
0x00 0x7300 0xcd8d => 0x7300 0x9806
0x00 0x4c00 0xe01b => 0x4c00 0x88b6
0x00 0x1800 0x916d => 0x1800 0x49e6
0x06 0x3000 0x93cd => 0x5c87 0x5cb1
0x00 0x1c00 0xc7ff => 0x1c00 0x62bb
0x00 0x3800 0xc577 => 0x3800 0x7251
